id,description,title,repin_count
218143175687180975,Refined French Backyard Garden Décor Ideas,,0
218143175687180973,Refined French Backyard Garden Décor Ideas,,2
218143175687180862,Athena Calderone (@eyeswoon) • Instagram photos and videos,,0
218143175687169966,5 Ways to Combine White and Gray Plants | Grow Beautifully,,0
218143175687133547,"Curb Appeal, brownstone & wrought iron gate",,0
218143175687133537,"Window boxes and facade, Columbia Place, Brooklyn Heights I Gardenista",,0
218143175687133521,Window box face off on the Upper East Side. #MakeYouSmileStyle by brightbazaar,,1
218143175687133505,"Greenwich Village, red brick, black door, black window frames, window flower boxes, flower boxes, curb appeal, New York, brownstone",,1
218143175687133500, ,,0
218143175687126385,"With April officially under way, we're taking notes on spring to-dos and a verdant conservatory over on Gardenista. Don't miss our other must-read spring p",,4
218143175687121399,Small Garden Design For Small Backyard Ideas 04,,0
218143175687121384,Another idea for my faux French farmhouse ;-)#gardendesign#outdoorliving #outdoorspaces,,17
218143175686364791, ,,0
218143175686245041,Our new Terrace in the Countryside,,0
218143175686213637, ,,1
218143175685804432, ,,0
218143175685804431,"Urban garden, London - use old ladder as trellis for tomatoes and peas? I like this picture...it gives me lots of ideas.",,0
218143175685804430,Bestrating en speelse borders,,0
218143175685804429,25 Seriously Jaw Dropping Urban Gardens - laurel home,,5
218143175685804421,"The Cobble Hill, Brooklyn, house shared by artists Elliott Puckette and Hugo Guinness.",,0
218143175685804419,Tiled courtyard by landscape designer Matthew Brown in Los Feliz.,,1
218143175685804414,"The backyard features a Terracotta Clay Chiminea from Lowe’s, Storm Grey Fermob Sixties Armchairs, industrial outdoor string lights, and a Joraform Compost Tumbler. The copper outdoor shower is a Seletti Aquart Garden Shower that Lauren bought at GRDN in Brooklyn (a neighbor to her store, The Primary Essentials).",,0
218143175685804412,"Photograph by Dan Wonderly, courtesy of Kim Hoyt Architects. For more of this garden, see Landscape Architect Visit: A Leafy Garden in Park Slope in Brooklyn.",,1
188658671887862437,The most stylish and comfortable pajamas for women are designed to be worn from bed to the city with effortless style!,Sleepwear Style,5
188658671887862436,The most stylish and comfortable pajamas for women are designed to be worn from bed to the city with effortless style!,Sleepwear Style,35
188658671887859670,"Holiday hair is a cinch with the resurgence of lustrous accessories. From jeweled clips to elegant bows, these sparkly pieces will take your hair to shimmering new heights!",CROWN JEWELS,7
188658671887856489,"With our carefully chosen selection of cherished brands and brand-new items, the greatest in skincare and beauty needs are at your fingertips.",BEAUTY,3
188658671887852491,"If they didn’t take the hint or you’ve been left with not-so-perfect presents, treat yourself to something on your personal wishlist with up to 40% off the gifts you really wanted. Head into the New Year with feel-good buys—you deserve it. Shop BAZAAR editors’ picks from Khaite, Balenciaga, CO Collection, By Malene Birger, and more.",SHOP BAZAAR SALE,1
